,City,ISO3,country,country_num,year,population,GDP_USD,gdp_per_capita,home_adv,tot_gold,tot_silver,tot_bronze,tot_medals,last_medals,secondLast_medals,predictions_gold,predictions_silver,predictions_bronze
1314,Rio de Janeiro,KNA,St. Kitts & Nevis,165,2016,54821.0,909854620.0,16596,0,0,0,0,0,0,0,0.0,0.0,0.0
1318,Rio de Janeiro,LCA,St. Lucia,166,2016,178015.0,1667078704.0,9364,0,0,0,0,0,0,0,0.0,0.0,0.0
1324,Rio de Janeiro,VCT,St. Vincent & Grenadines,167,2016,109643.0,768224227.0,7006,0,0,0,0,0,0,0,0.0,0.0,0.0
1334,Rio de Janeiro,SDN,Sudan,168,2016,39578828.0,95584380032.0,2415,0,0,0,0,0,0,1,0.0,0.0,0.0
1344,Rio de Janeiro,SUR,Suriname,169,2016,558368.0,3278425328.0,5871,0,0,0,0,0,0,0,0.0,0.0,0.0
1352,Rio de Janeiro,SWZ,Swaziland,170,2016,1343098.0,3720649375.0,2770,0,0,0,0,0,0,0,0.0,0.0,0.0
1365,Rio de Janeiro,SWE,Sweden,171,2016,9903122.0,514459972806.0,51949,0,2,6,3,11,8,5,0.0,8.0,5.0
1376,Rio de Janeiro,CHE,Switzerland,172,2016,8372098.0,668851296244.0,79890,0,3,2,2,7,4,7,2.0,0.0,2.0
1388,Rio de Janeiro,TJK,Tajikistan,174,2016,8734951.0,6951657159.0,795,0,1,0,0,1,1,2,0.0,0.0,1.0
1394,Rio de Janeiro,TZA,Tanzania,175,2016,55572201.0,47340071107.0,851,0,0,0,0,0,0,0,0.0,0.0,0.0
1406,Rio de Janeiro,THA,Thailand,176,2016,68863514.0,407026127310.0,5910,0,2,2,2,6,3,4,4.0,1.0,0.0
1408,Rio de Janeiro,TLS,Timor-Leste,177,2016,1268671.0,1782974000.0,1405,0,0,0,0,0,0,0,0.0,0.0,0.0
1416,Rio de Janeiro,TGO,Togo,178,2016,7606374.0,4399995987.0,578,0,0,0,0,0,0,1,0.0,0.0,0.0
1423,Rio de Janeiro,TON,Tonga,179,2016,107122.0,401562006.0,3748,0,0,0,0,0,0,0,0.0,0.0,0.0
1436,Rio de Janeiro,TTO,Trinidad & Tobago,180,2016,1364962.0,21894706041.0,16040,0,0,0,1,1,4,2,1.0,1.0,2.0
1446,Rio de Janeiro,TUN,Tunisia,181,2016,11403248.0,42062549395.0,3688,0,0,0,3,3,3,1,0.0,0.0,0.0
1458,Rio de Janeiro,TUR,Turkey,182,2016,79512426.0,863711710427.0,10862,0,1,3,4,8,5,7,2.0,3.0,4.0
1462,Rio de Janeiro,TKM,Turkmenistan,183,2016,5662544.0,36179885714.0,6389,0,0,0,0,0,0,0,0.0,0.0,0.0
1463,Rio de Janeiro,TUV,Tuvalu,184,2016,11097.0,34218878.0,3083,0,0,0,0,0,0,0,0.0,0.0,0.0
1482,Rio de Janeiro,UGA,Uganda,186,2016,41487965.0,24078931933.0,580,0,0,0,0,0,1,0,0.0,0.0,0.0
1486,Rio de Janeiro,UKR,Ukraine,187,2016,45004645.0,93270479389.0,2072,0,2,5,4,11,20,27,5.0,3.0,10.0
1493,Rio de Janeiro,ARE,United Arab Emirates,188,2016,9269612.0,348743265705.0,37622,0,0,0,1,1,0,0,0.0,0.0,0.0
1506,Rio de Janeiro,GBR,United Kingdom,189,2016,65637239.0,2647898654635.0,40341,0,27,23,17,67,65,48,13.0,17.0,26.0
1518,Rio de Janeiro,USA,United States,190,2016,323127513.0,18624475000000.0,57638,0,46,37,38,121,103,110,46.0,24.0,29.0
1530,Rio de Janeiro,URY,Uruguay,191,2016,3444006.0,52419720714.0,15220,0,0,0,0,0,0,0,0.0,0.0,1.0
1534,Rio de Janeiro,UZB,Uzbekistan,192,2016,31848200.0,67220335570.0,2110,0,4,2,7,13,3,6,0.0,1.0,1.0
1540,Rio de Janeiro,VUT,Vanuatu,193,2016,270402.0,773502896.0,2860,0,0,0,0,0,0,0,0.0,0.0,0.0
1558,Rio de Janeiro,VNM,Vietnam,195,2016,92701100.0,205276172135.0,2214,0,1,1,0,2,0,1,1.0,0.0,0.0
1563,Rio de Janeiro,YEM,Yemen,196,2016,27584213.0,27317605346.0,990,0,0,0,0,0,0,0,0.0,0.0,0.0
1574,Rio de Janeiro,ZMB,Zambia,197,2016,16591390.0,21063989683.0,1269,0,0,0,0,0,0,0,0.0,0.0,0.0
1584,Rio de Janeiro,ZWE,Zimbabwe,198,2016,16150362.0,16619960402.0,1029,0,0,0,0,0,0,4,0.0,2.0,2.0
